Full Name;070624, Justin 
Test Time;7/6/2024 5:32:57 PM
Reference;
Memo;trial1 5laps no walker

Time (sec.);Sync. In;Left Foot Contact;Right Foot Contact;UCOP Both X;UCOP Both Y;UCOP Left X;UCOP Left Y;UCOP Right X;UCOP Right Y;UCOP Other X;UCOP Other Y;COP Both X;COP Both Y;COP Left X;COP Left Y;COP Right X;COP Right Y;COP Other X;COP Other Y;COMe X;COMe Y;COP Both Angle;COP Left Angle;COP Right Angle;COP Other Angle;COMe Angle;COP Both Vel.;COP Both X Vel.;COP Both Y Vel.;COP Left Vel.;COP Left X Vel.;COP Left Y Vel.;COP Right Vel.;COP Right X Vel.;COP Right Y Vel.;COP Other Vel.;COP Other X Vel.;COP Other Y Vel.;COMe Vel.;COMe X Vel.;COMe Y Vel.;COP Both Angle Vel.;COP Left Angle Vel.;COP Right Angle Vel.;COP Other Angle Vel.;COMe Angle Vel.;COP Both Acc.;COP Both X Acc.;COP Both Y Acc.;COP Left Acc.;COP Left X Acc.;COP Left Y Acc.;COP Right Acc.;COP Right X Acc.;COP Right Y Acc.;COP Other Acc.;COP Other X Acc.;COP Other Y Acc.;COMe Acc.;COMe X Acc.;COMe Y Acc.;[UCOP Both - COMe] Dist.;[UCOP Both - COMe] X Dist.;[UCOP Both - COMe] Y Dist.;[UCOP Left - COMe] Dist.;[UCOP Left - COMe] X Dist.;[UCOP Left - COMe] Y Dist.;[UCOP Right - COMe] Dist.;[UCOP Right - COMe] X Dist.;[UCOP Right - COMe] Y Dist.;[UCOP Other - COMe] Dist.;[UCOP Other - COMe] X Dist.;[UCOP Other - COMe] Y Dist.;Both Feet Pressure;Both Feet Pressure %;Both Feet # Active Sensors;Left Foot Pressure;Left Foot Pressure %;Left Foot Press. % w/o Other;Left Foot # Active Sensors;Right Foot Pressure;Right Foot Pressure %;Right Foot Pres. % w/o Other;Right Foot # Active Sensors;Other Pressure;Other Pressure %;Other # Active Sensors;Wide Turns;UMFCOP Left X;UMFCOP Left Y;UMFCOP Right X;UMFCOP Right Y;Cyclogram X;Cyclogram Y
0.0000;1.0000;0.0000;0.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;
0.0083;1.0000;0.0000;0.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;
0.0167;1.0000;0.0000;0.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;
0.0250;1.0000;0.0000;0.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;
0.0333;1.0000;0.0000;0.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;
0.0417;1.0000;0.0000;0.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;
0.0500;1.0000;0.0000;0.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;
0.0583;1.0000;0.0000;0.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;
0.0667;1.0000;0.0000;0.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;
0.0750;1.0000;0.0000;0.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;;;;;
